 ,Area,Mean
4,0.717,16095.038
6,0.193,17695.714
7,6.342,36480.887
8,0.386,33586.429
9,0.165,20968.5
10,2.757,30728.93
11,2.123,27548.597
12,5.046,25928.536
13,1.847,39227.522
14,2.233,26643.519
15,1.186,26357.209
17,0.634,19397.391
20,0.524,27878.158
22,0.386,19845.786
24,3.088,25485.152
25,2.04,18259.608
32,1.654,29384.267
33,1.627,23218.203
34,1.434,30266.519
35,1.103,31329.7
36,0.551,29286.65
37,0.165,18384.667
38,4.164,33585.709
39,0.193,19621.571
40,2.068,33981.147
41,0.248,15582.444
42,0.358,17441.308
43,1.765,22932.203
45,1.875,39320.456
46,0.8,29454.276
47,0.221,18804.0
48,0.414,37067.6
50,0.744,32456.593
51,0.607,34404.409
52,1.489,35571.889
53,1.544,31622.214
54,0.689,20142.12
57,0.303,21102.364
58,1.572,27146.421
59,0.579,35678.143
62,0.303,19598.091
64,0.414,19206.267
67,0.331,23691.167
68,0.607,17765.0
71,0.331,23304.167
73,0.331,18120.083
74,0.689,25445.64
78,0.165,17364.167
80,0.276,21366.3
81,1.379,28916.04
83,1.875,33495.059
84,1.158,35119.429
86,0.414,15579.2
87,0.414,21362.333
88,0.331,18546.083
90,1.075,24514.538
91,0.882,19843.375
92,1.02,28311.541
93,0.303,27325.182
94,0.441,18260.625
95,0.358,18208.846
98,2.813,23304.637
100,0.276,24774.8
102,0.276,16802.5
104,0.221,18101.5
105,0.221,21542.875
110,0.193,21137.143
113,0.165,18312.833
114,0.165,24055.667
117,0.248,22220.667
122,2.013,42653.247
123,1.268,23032.174
124,1.737,33425.476
126,0.993,22140.194
128,0.662,20360.542
129,0.414,31631.2
130,3.419,37245.992
131,0.607,18514.818
136,2.261,32265.037
139,1.737,21289.889
142,1.544,28937.411
143,0.331,25753.75
145,0.193,18223.143
148,0.358,23209.462
149,0.221,18936.0
151,0.165,19140.167
154,0.469,21208.235
156,0.193,18887.429
158,0.165,16517.167
160,1.296,24798.851
161,0.524,17284.737
164,4.026,22366.349
166,0.358,19419.538
167,1.131,20400.976
169,1.71,24575.081
172,0.496,16664.333
173,0.276,15594.1
174,0.165,16475.833
175,0.579,17639.619
176,0.8,20473.966
177,2.426,33357.58
179,0.524,22943.211
181,1.075,19964.59
183,0.303,16552.455
184,2.344,30797.471
185,1.268,17359.587
186,2.068,28799.24
187,0.193,19119.714
189,0.358,15306.692
190,0.331,24661.917
191,0.358,20097.0
192,0.993,20601.833
194,0.276,21545.4
199,1.461,25579.774
201,1.903,28660.594
203,3.778,38692.241
205,0.634,28415.043
206,0.276,24689.2
209,0.469,19270.471
210,1.792,22319.677
213,3.116,22474.92
216,0.414,19151.667
217,0.855,23563.194
223,0.331,22615.833
225,1.103,22374.1
228,0.193,15784.286
230,0.276,16892.1
231,1.158,24258.476
232,0.165,17197.0
233,0.386,25131.786
234,0.248,17647.0
235,1.682,27528.738
237,0.248,20747.444
240,2.399,26312.954
243,0.358,27741.308
245,1.213,28197.773
249,0.855,26716.194
251,0.414,30031.733
252,0.386,22776.5
254,0.414,21700.4
256,0.165,17318.833
257,0.221,15920.25
258,1.379,19827.14
